product_name,revenue,qty_sold,cust_location,cows_number,farm_size,price_unit,shelf_life,storage,channel
Curd,73295.25,805,Bihar,77,Small,91.05,6,1,0
Curd,12867.3,153,Delhi,90,Large,84.1,7,1,1
Ghee,1643.4,22,Delhi,78,Large,74.7,122,0,0
Butter,6731.52,128,Tamil Nadu,40,Small,52.59,35,1,0
Yogurt,21536.85,435,Chandigarh,41,Large,49.51,26,1,1
Ghee,43937.52,726,Uttar Pradesh,20,Small,60.52,106,0,0
Cheese,63383.95,631,Jharkhand,48,Medium,100.45,26,1,0
Yogurt,2583.36,104,Madhya Pradesh,23,Medium,24.84,26,1,1
Ghee,23205.91,637,Gujarat,79,Medium,36.43,125,0,0
Ice Cream,5290.56,198,West Bengal,100,Large,26.72,25,1,0
Buttermilk,3870.0,125,Delhi,32,Large,30.96,9,1,1
Ice Cream,1772.64,24,Bihar,93,Large,73.86,28,1,0
Butter,598.65,65,Telangana,39,Small,9.21,28,1,0
Cheese,414.44,13,Tamil Nadu,61,Small,31.88,40,1,0
Ghee,1808.56,47,Karnataka,33,Medium,38.48,133,0,0
Butter,857.88,9,Maharashtra,68,Large,95.32,26,1,0
Curd,3454.38,54,Madhya Pradesh,75,Large,63.97,5,1,0
Lassi,25984.4,526,West Bengal,93,Small,49.4,13,1,1
Paneer,416.88,24,Madhya Pradesh,48,Medium,17.37,11,1,1
Paneer,1027.6,10,Jharkhand,35,Small,102.76,9,1,0
Buttermilk,4875.12,61,Gujarat,26,Large,79.92,10,1,0
Ice Cream,21968.44,509,Delhi,77,Small,43.16,29,1,1
Milk,1688.43,23,Haryana,55,Small,73.41,25,0,1
Lassi,3087.0,42,Rajasthan,12,Medium,73.5,18,1,0
Paneer,25708.8,312,West Bengal,34,Large,82.4,12,1,0
Curd,1665.3,105,Bihar,80,Medium,15.86,5,1,0
Ghee,2974.5,75,Kerala,26,Large,39.66,131,0,0
Lassi,6005.25,471,Maharashtra,76,Large,12.75,17,1,1
Ghee,30174.39,387,Chandigarh,60,Medium,77.97,115,0,0
Ghee,5280.54,186,Madhya Pradesh,70,Medium,28.39,83,0,1
Paneer,17102.4,672,Chandigarh,99,Small,25.45,8,1,0
Buttermilk,8393.75,85,Tamil Nadu,38,Large,98.75,8,1,0
Lassi,3237.52,286,Maharashtra,71,Small,11.32,16,1,0
Lassi,11450.52,204,Maharashtra,35,Large,56.13,13,1,0
Milk,22862.0,284,Bihar,27,Medium,80.5,29,0,0
Cheese,15627.33,177,Haryana,32,Medium,88.29,69,1,0
Curd,21988.8,270,West Bengal,34,Large,81.44,7,1,0
Yogurt,2778.99,51,Chandigarh,38,Large,54.49,25,1,0
Ice Cream,63486.08,766,Chandigarh,67,Small,82.88,24,1,1
Ghee,30044.52,324,Karnataka,74,Medium,92.73,115,0,1
Butter,150.96,12,Uttar Pradesh,64,Small,12.58,36,1,1
Buttermilk,69633.2,728,Kerala,14,Small,95.65,13,1,1
Yogurt,22039.22,301,Gujarat,75,Medium,73.22,27,1,0
Paneer,6076.95,165,Maharashtra,40,Small,36.83,10,1,0
Buttermilk,1038.02,43,Kerala,40,Medium,24.14,13,1,1
Buttermilk,1188.88,77,Delhi,45,Medium,15.44,10,1,0
Butter,1244.39,29,Chandigarh,20,Small,42.91,25,1,1
Ice Cream,4528.44,63,Chandigarh,91,Small,71.88,30,1,1
Buttermilk,808.96,16,West Bengal,55,Large,50.56,14,1,1
Milk,21742.55,485,Madhya Pradesh,24,Large,44.83,25,0,0
Cheese,6531.16,67,Gujarat,97,Large,97.48,50,1,0
Cheese,4081.0,70,Jharkhand,12,Small,58.3,51,1,0
Milk,45605.98,658,Bihar,18,Large,69.31,2,0,0
Lassi,2840.46,42,Rajasthan,78,Medium,67.63,15,1,0
Ice Cream,7453.95,155,Haryana,78,Medium,48.09,26,1,0
Butter,20451.26,241,Karnataka,62,Large,84.86,29,1,1
Yogurt,20931.62,302,Kerala,33,Large,69.31,25,1,0
Buttermilk,27.5,1,West Bengal,39,Medium,27.5,11,1,0
Buttermilk,3707.53,193,Tamil Nadu,41,Large,19.21,14,1,1
Butter,16354.94,197,Bihar,26,Medium,83.02,38,1,0
Lassi,177.96,6,Uttar Pradesh,74,Large,29.66,16,1,1
Paneer,108.02,2,Chandigarh,22,Small,54.01,14,1,0
Lassi,1455.48,36,Haryana,100,Medium,40.43,13,1,0
Ice Cream,6114.9,218,Haryana,67,Large,28.05,23,1,0
Yogurt,8188.71,107,Maharashtra,31,Large,76.53,24,1,0
Yogurt,8909.05,127,Delhi,86,Small,70.15,23,1,1
Cheese,3728.21,71,Bihar,22,Small,52.51,69,1,0
Butter,682.63,13,Tamil Nadu,86,Large,52.51,36,1,0
Buttermilk,34639.28,494,Jharkhand,51,Medium,70.12,14,1,0
Lassi,3228.3,45,Rajasthan,20,Small,71.74,14,1,0
Ghee,24053.42,353,Kerala,11,Small,68.14,138,0,0
Yogurt,4638.18,138,Uttar Pradesh,28,Medium,33.61,28,1,0
Lassi,35409.28,488,Maharashtra,71,Medium,72.56,15,1,0
Buttermilk,12226.62,301,Bihar,78,Large,40.62,11,1,1
Ghee,4659.34,322,Tamil Nadu,86,Large,14.47,143,0,0
Cheese,2660.48,32,Delhi,48,Large,83.14,55,1,1
Cheese,79.68,8,Telangana,21,Small,9.96,88,1,0
Ghee,4885.47,57,Bihar,48,Medium,85.71,104,0,0
Buttermilk,47324.48,518,Bihar,88,Small,91.36,12,1,0
Curd,29049.24,708,West Bengal,44,Large,41.03,6,1,1
Butter,34645.04,424,Maharashtra,10,Medium,81.71,26,1,0
Lassi,356.0,8,Rajasthan,36,Large,44.5,15,1,0
Curd,13035.9,285,Kerala,22,Medium,45.74,7,1,0
Curd,27138.72,287,Bihar,57,Small,94.56,6,1,0
Butter,8466.4,304,Uttar Pradesh,37,Medium,27.85,29,1,0
Ice Cream,602.49,21,Delhi,34,Medium,28.69,21,1,0
Buttermilk,4255.65,45,Tamil Nadu,77,Small,94.57,7,1,1
Cheese,13704.44,397,Maharashtra,29,Large,34.52,64,1,0
Milk,35852.3,605,Chandigarh,98,Medium,59.26,29,0,0
Milk,34168.75,625,Kerala,74,Medium,54.67,29,0,0
Ghee,2499.84,96,Tamil Nadu,48,Small,26.04,91,0,0
Yogurt,20550.77,443,Madhya Pradesh,75,Medium,46.39,24,1,1
Ice Cream,44386.44,636,Chandigarh,35,Large,69.79,26,1,0
Ghee,404.82,26,Jharkhand,70,Large,15.57,65,0,1
Paneer,17887.0,310,Chandigarh,68,Large,57.7,11,1,0
Buttermilk,48208.16,539,Delhi,67,Large,89.44,11,1,1
Lassi,19443.65,211,Telangana,25,Medium,92.15,14,1,0
Butter,2135.3,163,Chandigarh,35,Large,13.1,29,1,0
Yogurt,38901.18,849,Telangana,68,Medium,45.82,28,1,0
Buttermilk,24436.94,277,Uttar Pradesh,65,Medium,88.22,7,1,1
Buttermilk,507.32,22,Gujarat,39,Large,23.06,8,1,0
Lassi,9956.22,258,Karnataka,28,Large,38.59,15,1,1
Paneer,2192.92,146,Gujarat,63,Large,15.02,11,1,0
Paneer,34350.54,578,Chandigarh,62,Medium,59.43,14,1,0
Yogurt,12055.4,545,Maharashtra,32,Small,22.12,29,1,0
Ice Cream,1152.72,18,Bihar,67,Medium,64.04,27,1,0
Milk,2624.93,77,Delhi,36,Small,34.09,1,0,1
Milk,22580.48,299,West Bengal,41,Large,75.52,1,0,1
Cheese,47394.72,552,Tamil Nadu,59,Large,85.86,31,1,0
Ghee,3522.96,108,Haryana,55,Large,32.62,100,0,1
Ghee,13266.4,412,Telangana,56,Medium,32.2,136,0,0
Cheese,535.98,6,Maharashtra,39,Large,89.33,67,1,0
Butter,10711.25,209,Chandigarh,77,Medium,51.25,40,1,1
Ghee,7946.1,327,Jharkhand,83,Large,24.3,66,0,0
Milk,18136.68,359,Chandigarh,46,Large,50.52,28,0,0
Curd,16121.4,485,Chandigarh,16,Large,33.24,7,1,0
Butter,4207.5,225,Haryana,27,Small,18.7,32,1,0
Lassi,303.17,7,Madhya Pradesh,86,Large,43.31,16,1,1
Ice Cream,2500.9,89,Bihar,83,Medium,28.1,22,1,1
Cheese,9141.0,150,Maharashtra,13,Medium,60.94,53,1,0
Paneer,17288.82,278,Haryana,18,Small,62.19,13,1,1
Ice Cream,5381.28,202,Haryana,43,Medium,26.64,29,1,0
Buttermilk,9453.12,687,Chandigarh,21,Medium,13.76,8,1,0
Buttermilk,31347.2,316,Gujarat,22,Large,99.2,13,1,0
Milk,9757.18,326,Tamil Nadu,48,Medium,29.93,1,0,0
Curd,5717.1,59,Bihar,61,Medium,96.9,5,1,0
Butter,11685.51,157,Delhi,21,Medium,74.43,35,1,0
Butter,10801.28,112,Bihar,80,Medium,96.44,25,1,0
Paneer,646.73,7,Maharashtra,59,Medium,92.39,7,1,0
Yogurt,7593.48,267,Karnataka,52,Medium,28.44,30,1,1
Cheese,14377.68,342,Haryana,60,Small,42.04,61,1,0
Milk,14694.46,187,Maharashtra,41,Large,78.58,1,0,1
Lassi,10775.04,122,Delhi,42,Small,88.32,16,1,1
Paneer,5184.62,203,Tamil Nadu,17,Medium,25.54,10,1,0
Ghee,11901.12,138,Karnataka,87,Large,86.24,135,0,0
Paneer,24748.55,373,Delhi,80,Small,66.35,14,1,1
Ice Cream,1018.08,48,Bihar,20,Medium,21.21,27,1,1
Curd,5641.02,198,Delhi,51,Medium,28.49,7,1,1
Butter,3266.76,84,Rajasthan,74,Medium,38.89,32,1,1
Buttermilk,9051.48,459,Karnataka,72,Medium,19.72,13,1,0
Lassi,17244.5,182,Gujarat,47,Large,94.75,13,1,1
Yogurt,24131.25,495,Karnataka,93,Large,48.75,27,1,0
Cheese,35613.64,631,Chandigarh,78,Small,56.44,37,1,0
Ghee,12692.36,332,Telangana,97,Large,38.23,126,0,0
Ghee,346.32,24,Rajasthan,89,Small,14.43,145,0,0
Butter,3994.89,183,Delhi,18,Medium,21.83,38,1,1
Cheese,12707.12,193,Rajasthan,26,Large,65.84,88,1,1
Buttermilk,754.8,30,Haryana,67,Small,25.16,7,1,0
Lassi,24288.46,397,Gujarat,37,Medium,61.18,16,1,0
Cheese,913.0,20,Rajasthan,80,Medium,45.65,70,1,1
Lassi,24113.04,651,Uttar Pradesh,24,Medium,37.04,17,1,1
Paneer,3160.8,36,Chandigarh,70,Small,87.8,13,1,0
Ice Cream,8270.7,114,Maharashtra,33,Large,72.55,21,1,1
Cheese,3681.8,82,Madhya Pradesh,63,Small,44.9,53,1,0
Curd,1634.0,20,Tamil Nadu,96,Large,81.7,6,1,0
Curd,1278.68,26,Chandigarh,11,Large,49.18,5,1,0
Ghee,10567.2,185,Rajasthan,24,Medium,57.12,74,0,0
Ghee,1420.0,40,Haryana,84,Medium,35.5,126,0,0
Butter,25804.24,284,Chandigarh,100,Large,90.86,35,1,0
Ice Cream,11816.7,331,Rajasthan,78,Medium,35.7,21,1,1
Cheese,488.67,13,West Bengal,84,Small,37.59,39,1,1
Yogurt,33881.76,713,Maharashtra,87,Large,47.52,22,1,0
Butter,2186.91,141,Chandigarh,49,Small,15.51,26,1,0
Butter,1207.26,57,Tamil Nadu,18,Small,21.18,28,1,0
Paneer,191.7,3,Rajasthan,65,Medium,63.9,12,1,0
Butter,13623.79,409,Uttar Pradesh,51,Medium,33.31,35,1,0
Paneer,28938.18,426,Gujarat,63,Large,67.93,12,1,0
Paneer,50711.84,604,Haryana,77,Small,83.96,9,1,0
Lassi,19106.08,196,Maharashtra,83,Small,97.48,15,1,1
Butter,21180.6,246,Maharashtra,91,Small,86.1,26,1,1
Paneer,1956.22,178,Maharashtra,42,Medium,10.99,13,1,0
Milk,6969.6,121,Delhi,60,Large,57.6,2,0,0
Butter,37180.0,650,Karnataka,17,Small,57.2,26,1,0
Cheese,13860.56,934,West Bengal,64,Large,14.84,53,1,1
Lassi,36340.64,497,Telangana,20,Medium,73.12,18,1,0
Lassi,20610.78,269,Jharkhand,86,Small,76.62,13,1,0
Curd,27164.46,346,West Bengal,95,Medium,78.51,7,1,0
Yogurt,19690.0,220,Bihar,24,Small,89.5,27,1,0
Yogurt,2084.4,36,Maharashtra,25,Small,57.9,23,1,1
Curd,2721.6,54,Uttar Pradesh,26,Large,50.4,6,1,1
Buttermilk,101.84,4,Gujarat,73,Medium,25.46,12,1,0
Lassi,4177.79,73,Telangana,22,Large,57.23,16,1,0
Buttermilk,32526.21,397,Tamil Nadu,18,Small,81.93,8,1,0
Ice Cream,12916.51,277,Gujarat,34,Medium,46.63,27,1,1
Butter,9657.8,172,Tamil Nadu,56,Small,56.15,30,1,0
Butter,25058.78,313,Madhya Pradesh,39,Large,80.06,27,1,0
Lassi,7867.8,465,Tamil Nadu,43,Small,16.92,15,1,0
Ghee,8764.08,212,Kerala,55,Large,41.34,77,0,1
Lassi,26680.39,649,Uttar Pradesh,15,Large,41.11,13,1,1
Milk,19393.92,273,Telangana,91,Medium,71.04,26,0,1
Paneer,6782.72,128,Delhi,55,Large,52.99,9,1,1
Curd,1338.5,25,Delhi,94,Large,53.54,6,1,0
Curd,921.67,37,Delhi,37,Medium,24.91,5,1,1
Buttermilk,8831.95,145,Delhi,71,Small,60.91,11,1,1
Buttermilk,22983.78,246,Uttar Pradesh,61,Small,93.43,8,1,0
Butter,380.46,34,Karnataka,16,Large,11.19,25,1,1
Lassi,64977.5,790,Jharkhand,40,Large,82.25,17,1,0
Cheese,5084.46,423,Chandigarh,40,Small,12.02,70,1,0
Yogurt,1459.81,23,Delhi,81,Small,63.47,21,1,0
Buttermilk,13331.64,354,Haryana,97,Small,37.66,10,1,0
Butter,14589.85,451,Delhi,29,Medium,32.35,35,1,0
Ice Cream,3401.19,81,Uttar Pradesh,11,Large,41.99,29,1,0
Ghee,63702.45,735,Delhi,92,Medium,86.67,129,0,0
Butter,10551.36,232,Chandigarh,56,Large,45.48,30,1,0
Buttermilk,1087.08,12,Madhya Pradesh,34,Medium,90.59,14,1,0
Lassi,3559.5,105,Rajasthan,46,Large,33.9,14,1,0
Milk,20197.89,239,Chandigarh,15,Small,84.51,2,0,0
Lassi,109.56,2,Karnataka,91,Large,54.78,14,1,0
Yogurt,12285.02,209,Rajasthan,48,Medium,58.78,26,1,0
Milk,744.96,48,Haryana,14,Small,15.52,2,0,1
Paneer,12468.07,151,West Bengal,31,Medium,82.57,11,1,0
Curd,11286.85,185,Bihar,19,Large,61.01,6,1,0
Butter,8875.65,105,Haryana,10,Small,84.53,29,1,0
Butter,23816.9,314,Delhi,77,Medium,75.85,33,1,0
Cheese,3277.12,77,Kerala,64,Medium,42.56,30,1,0
Buttermilk,5167.64,82,Telangana,56,Small,63.02,10,1,0
Cheese,9715.42,158,Delhi,81,Large,61.49,74,1,0
Ghee,32645.76,336,Chandigarh,43,Medium,97.16,128,0,0
Paneer,15621.48,252,Jharkhand,11,Medium,61.99,11,1,1
Curd,24922.8,322,Karnataka,10,Small,77.4,6,1,0
Cheese,21402.0,450,Haryana,75,Large,47.56,40,1,0
Curd,560.89,11,Delhi,38,Large,50.99,5,1,0
Cheese,850.34,41,Madhya Pradesh,92,Large,20.74,50,1,0
Milk,11808.03,411,Bihar,84,Small,28.73,22,0,0
Ice Cream,165.72,3,Rajasthan,26,Small,55.24,29,1,0
Ice Cream,17018.0,335,Tamil Nadu,55,Large,50.8,30,1,0
Cheese,15062.9,226,West Bengal,17,Large,66.65,75,1,0
Paneer,2613.6,48,Chandigarh,30,Medium,54.45,11,1,0
Yogurt,1474.74,27,Bihar,33,Large,54.62,23,1,0
Yogurt,14120.54,349,Jharkhand,62,Small,40.46,24,1,1
Cheese,13290.6,510,Chandigarh,32,Large,26.06,62,1,1
Ghee,5792.0,64,Jharkhand,14,Large,90.5,143,0,0
Curd,20619.27,483,Rajasthan,38,Large,42.69,7,1,0
Ice Cream,25389.84,889,Maharashtra,47,Medium,28.56,21,1,0
